sigma,pair,rre,rte,rmse,time
0.02,8,0.1820291508555353,0.0023698695978992,0.0029291976516597,0.1808746308088302
0.02,9,0.428677082438635,0.0004130000394963,0.0035220503629451,0.1830464042723179
0.02,10,0.3316892397305618,0.0005256777846647,0.0029564067185475,0.180927419103682
0.02,11,0.1154207981483135,0.0018376495553438,0.0021355192902205,0.1813589120283723
0.02,12,0.5312599345957048,0.0024673410979427,0.004763370358197,0.1873504999093711
0.02,13,0.2756035561778257,0.0045192200474257,0.0046321724806942,0.1790376780554652
0.02,14,0.1593332386940174,0.0036567732173941,0.00419445316101,0.1858918303623795
0.02,15,0.1205988209644324,0.0027198056443026,0.003053956027067,0.178641723934561
0.02,16,0.1460104152038329,0.0031868097344641,0.0036737898967792,0.1870454638265073
0.02,17,0.1498911171861022,0.00217636127896,0.0024873842700461,0.1903946558013558
0.02,18,0.1631643266374258,0.001624182061261,0.0022578181187925,0.1823862087912857
0.02,19,0.4197577478510372,0.003642650764859,0.0049250800173329,0.1751734362915158
0.03,0,0.1691361229672249,0.0049174199188513,0.0051600167907573,0.1657755761407315
0.03,1,0.3703759769229514,0.0066518607663432,0.0084176019915703,0.1630764720030129
0.03,2,0.8467531390983783,0.0039387948355967,0.0083198463430984,0.1619317098520696
0.03,3,0.5281668449077437,0.0033028891041362,0.0069283649581438,0.1531864879652857
0.03,4,0.7345295264807719,0.0096596761547982,0.0104066047769218,0.1594649241305887
0.03,5,1.2920321784946596,0.009969411461226,0.0126540261714316,0.1569461463950574
0.03,6,0.5764483758798942,0.0056738205830992,0.0081569290382246,0.1621942888014018
0.03,7,0.4033529163014701,0.0074605991918003,0.00811790263247,0.1604908881708979
0.03,8,0.604865340410509,0.0054015993381565,0.0064840401342292,0.1574116698466241
0.03,9,1.0181221983271955,0.0042875448571751,0.0096008077555339,0.1560878502205014
0.03,10,0.4392171413993894,0.003411293411048,0.0052464084148698,0.1559545677155256
0.03,11,0.2681556867029391,0.0038978005845967,0.0043670369237826,0.1634467178955674
0.03,12,1.20745474381022,0.0048155656845538,0.0111106018264636,0.169236022979021
0.03,13,0.448418771558556,0.0081146725075056,0.0086590370722368,0.1570039340294897
0.03,14,0.389082081244757,0.0065244330300103,0.0069515405376543,0.1608915403485298
0.03,15,0.4713442977134796,0.0032931465742406,0.0047664010358679,0.1590049802325666
0.03,16,0.5019693452873931,0.0040262538736356,0.0065421921991902,0.1646338538266718
0.03,17,0.7262812494029627,0.0075726524590405,0.007841247915482,0.1714711398817598
0.03,18,0.4577545918672907,0.0040240950153645,0.0061969256574868,0.1616485812701285
0.03,19,1.0746126982008812,0.0085771828009475,0.0116783367456305,0.1603239690884947
0.04,0,0.378000936412864,0.0109876544397373,0.0116725753999055,0.1457259799353778
0.04,1,0.9881413480361028,0.0102415323313706,0.0144755177507666,0.1505166669376194
0.04,2,1.1504493660843018,0.0089340129015442,0.0139544005479653,0.1469277190044522
0.04,3,1.2869371183803937,0.0089885870185474,0.015982361831983,0.1400340101681649
0.04,4,1.7714925381845232,0.0137649615131094,0.0176085208911337,0.1426847539842128
0.04,5,2.472553595469673,0.0202062228569779,0.0262170249556785,0.1386380530893802
0.04,6,0.6769718322333216,0.0082176825668964,0.010956145561884,0.1507936823181808
0.04,7,0.6260793038137857,0.0132365051627446,0.0138175951757044,0.151723591145128
0.04,8,0.9672017274604456,0.0082586569493751,0.0102156873354942,0.148100035265088
0.04,9,1.6800374494419583,0.0092599603498533,0.0158144353146053,0.1437344290316105
0.04,10,0.990694207787505,0.006468404977336,0.0122273398237225,0.142647345084697
0.04,11,0.3276807210664316,0.0045254085215864,0.0056954781687783,0.1485633137635886
0.04,12,1.702347192185797,0.0067124893151331,0.016185949241835,0.1535111209377646
0.04,13,0.6526330173217346,0.0144190918474787,0.0149498937354069,0.1420536311343312
0.04,14,0.6452693272320662,0.0076281603202972,0.0103551826762238,0.1446632179431617
0.04,15,0.2783499066222017,0.0081395141146185,0.0077649616736268,0.140976914204657
0.04,16,1.0496339133302377,0.0057124576343441,0.0114685578994565,0.1504503595642745
0.04,17,0.6830212221312302,0.0108367685756746,0.0107707050465515,0.1581904292106628
0.04,18,1.3859902311402963,0.0073322869520664,0.0155311943479662,0.1437343680299818
0.04,19,1.6746797272534812,0.0127209622415083,0.0179516727414808,0.1470992267131805
0.05,0,1.0453776559549648,0.02048501886258298,0.022198963429406793,0.13619088008999825
0.05,1,1.204546009881455,0.018396487285872596,0.02291704220088127,0.14015214005485177
0.05,2,0.7733345775012876,0.015159510977237212,0.016470977604977528,0.13625666871666908
0.05,3,2.2299462134080223,0.01625199663497861,0.026352307042797365,0.13142106495797634
0.05,4,2.613869189519824,0.019549149029931646,0.026038243238452673,0.13406352093443274
0.05,5,3.5263448897708765,0.027772037066789563,0.03682981366372574,0.13004515366628766
0.05,6,0.8164048681901035,0.012835146190200595,0.015648635024046804,0.13974605686962605
0.05,7,0.8918516671703193,0.02364412735947296,0.02437217512151421,0.14262272464111447
0.05,8,1.2155572626086069,0.016766323999419148,0.017689866776517314,0.13456420274451375
0.05,9,1.2948356092063218,0.012295729494729046,0.015696776414218454,0.13578774081543088
0.05,10,1.4330106200832802,0.01185637713488468,0.019303339327730512,0.1333925728686154
0.05,11,0.3064687575960889,0.006457247317433275,0.007971262633921035,0.13787402166053653
0.05,12,2.4550006293820346,0.01601110318751867,0.02723887203443793,0.1425278289243579
0.05,13,1.6009428588399648,0.02109901803914058,0.02303790876443535,0.1327873868867755
0.05,14,1.3522614493703606,0.01148845732179427,0.018547592267054706,0.1350236819125712
0.05,15,0.4759583016903981,0.011204773780245732,0.011340141527398722,0.13172586122527719
0.05,16,1.2503894687060542,0.010015285494872383,0.01542069856102364,0.1369002740830183
0.05,17,0.8259283653841298,0.009978047881784547,0.011122678251881173,0.14781130012124777
0.05,18,1.68492274706822,0.011713904129647542,0.020695332168806195,0.13398993713781238
0.05,19,2.8539663045853807,0.014473285629993685,0.027473816263379237,0.13686446892097592
